"Soort misdrijf";"Perioden";"Regio's";"Aangiften (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Groningen (PV)";"    5352"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Groningen (PV)";"    5656"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Groningen (PV)";"    4976"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Groningen (PV)";"    5163"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Groningen (PV)";"    4740"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Groningen (PV)";"    3275"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Groningen (PV)";"    2930"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Groningen (PV)";"    2750"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Groningen (PV)";"    2183"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Groningen (PV)";"    2604"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Groningen (PV)";"    3240"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Fryslân (PV)";"    3047"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Fryslân (PV)";"    3379"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Fryslân (PV)";"    3553"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Fryslân (PV)";"    3200"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Fryslân (PV)";"    2432"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Fryslân (PV)";"    1757"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Fryslân (PV)";"    1750"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Fryslân (PV)";"    1498"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Fryslân (PV)";"    1273"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Fryslân (PV)";"    1308"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Fryslân (PV)";"    1868"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Drenthe (PV)";"    2710"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Drenthe (PV)";"    2318"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Drenthe (PV)";"    2295"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Drenthe (PV)";"    2269"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Drenthe (PV)";"    1820"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Drenthe (PV)";"    1294"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Drenthe (PV)";"    1112"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Drenthe (PV)";"    1311"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Drenthe (PV)";"    1041"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Drenthe (PV)";"    1253"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Drenthe (PV)";"    1636"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Overijssel (PV)";"    8564"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Overijssel (PV)";"    9349"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Overijssel (PV)";"    8833"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Overijssel (PV)";"    8456"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Overijssel (PV)";"    7215"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Overijssel (PV)";"    6202"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Overijssel (PV)";"    5412"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Overijssel (PV)";"    4977"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Overijssel (PV)";"    4337"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Overijssel (PV)";"    4105"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Overijssel (PV)";"    6417"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Flevoland (PV)";"    1925"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Flevoland (PV)";"    1978"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Flevoland (PV)";"    1958"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Flevoland (PV)";"    1944"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Flevoland (PV)";"    1873"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Flevoland (PV)";"    1010"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Flevoland (PV)";"    1094"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Flevoland (PV)";"    1213"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Flevoland (PV)";"    1098"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Flevoland (PV)";"    1031"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Flevoland (PV)";"    1144"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Gelderland (PV)";"   15629"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Gelderland (PV)";"   13995"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Gelderland (PV)";"   13242"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Gelderland (PV)";"   11147"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Gelderland (PV)";"   10744"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Gelderland (PV)";"    7892"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Gelderland (PV)";"    7067"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Gelderland (PV)";"    7587"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Gelderland (PV)";"    6986"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Gelderland (PV)";"    6992"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Gelderland (PV)";"    9080"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Utrecht (PV)";"    6970"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Utrecht (PV)";"    7876"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Utrecht (PV)";"    8419"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Utrecht (PV)";"    9800"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Utrecht (PV)";"    8859"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Utrecht (PV)";"    7884"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Utrecht (PV)";"    7270"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Utrecht (PV)";"    6453"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Utrecht (PV)";"    6768"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Utrecht (PV)";"    6159"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Utrecht (PV)";"    7682"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Noord-Holland (PV)";"   22855"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Noord-Holland (PV)";"   23788"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Noord-Holland (PV)";"   24500"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Noord-Holland (PV)";"   24411"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Noord-Holland (PV)";"   21244"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Noord-Holland (PV)";"   18097"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Noord-Holland (PV)";"   18771"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Noord-Holland (PV)";"   19116"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Noord-Holland (PV)";"   17061"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Noord-Holland (PV)";"   14777"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Noord-Holland (PV)";"   19273"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Zuid-Holland (PV)";"   23551"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Zuid-Holland (PV)";"   22425"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Zuid-Holland (PV)";"   25603"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Zuid-Holland (PV)";"   25804"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Zuid-Holland (PV)";"   27248"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Zuid-Holland (PV)";"   24051"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Zuid-Holland (PV)";"   18862"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Zuid-Holland (PV)";"   19159"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Zuid-Holland (PV)";"   18885"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Zuid-Holland (PV)";"   16324"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Zuid-Holland (PV)";"   20364"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Zeeland (PV)";"    2003"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Zeeland (PV)";"    1874"
