"Geregistreerde misdrijven en aangiften; soort misdrijf, gemeente 2023"
"Soort misdrijf: 1.2.3 Diefstal van brom-, snor-, fietsen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Groningen (PV)";"5434";"5768";"5065";"5234";"4805";"3329";"2991";"2789";"2224";"2631";"3267"
"Fryslân (PV)";"3128";"3442";"3625";"3263";"2477";"1792";"1792";"1525";"1309";"1327";"1902"
"Drenthe (PV)";"2761";"2347";"2337";"2301";"1847";"1319";"1144";"1336";"1067";"1269";"1674"
"Overijssel (PV)";"8748";"9515";"8979";"8622";"7318";"6301";"5506";"5079";"4440";"4166";"6516"
"Flevoland (PV)";"1956";"2026";"1985";"1975";"1902";"1032";"1120";"1239";"1115";"1056";"1171"
"Gelderland (PV)";"15870";"14162";"13413";"11375";"10945";"8034";"7184";"7726";"7126";"7121";"9253"
"Utrecht (PV)";"7073";"7970";"8536";"9900";"8943";"7970";"7334";"6503";"6839";"6228";"7752"
"Noord-Holland (PV)";"23225";"24152";"24923";"24808";"21581";"18366";"19026";"19344";"17369";"14998";"19650"
"Zuid-Holland (PV)";"24188";"23007";"26222";"26425";"27753";"24478";"19244";"19509";"19269";"16607";"20755"
"Zeeland (PV)";"2046";"1903";"1734";"1633";"1470";"984";"819";"1004";"868";"884";"1262"
"Noord-Brabant (PV)";"18864";"19237";"21052";"19179";"15059";"12149";"10910";"10866";"10437";"10944";"13826"
"Limburg (PV)";"10449";"9267";"9521";"8724";"6764";"5828";"5011";"5080";"4232";"4217";"5168"
"Niet in te delen (PV)";".";".";".";".";".";".";".";".";".";".";"."
"Bron: Politie"
