"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Groningen (PV)";"    5434"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Groningen (PV)";"    5768"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Groningen (PV)";"    5065"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Groningen (PV)";"    5234"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Groningen (PV)";"    4805"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Groningen (PV)";"    3329"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Groningen (PV)";"    2991"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Groningen (PV)";"    2789"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Groningen (PV)";"    2224"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Groningen (PV)";"    2631"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Groningen (PV)";"    3267"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Fryslân (PV)";"    3128"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Fryslân (PV)";"    3442"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Fryslân (PV)";"    3625"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Fryslân (PV)";"    3263"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Fryslân (PV)";"    2477"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Fryslân (PV)";"    1792"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Fryslân (PV)";"    1792"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Fryslân (PV)";"    1525"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Fryslân (PV)";"    1309"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Fryslân (PV)";"    1327"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Fryslân (PV)";"    1902"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Drenthe (PV)";"    2761"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Drenthe (PV)";"    2347"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Drenthe (PV)";"    2337"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Drenthe (PV)";"    2301"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Drenthe (PV)";"    1847"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Drenthe (PV)";"    1319"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Drenthe (PV)";"    1144"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Drenthe (PV)";"    1336"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Drenthe (PV)";"    1067"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Drenthe (PV)";"    1269"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Drenthe (PV)";"    1674"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Overijssel (PV)";"    8748"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Overijssel (PV)";"    9515"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Overijssel (PV)";"    8979"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Overijssel (PV)";"    8622"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Overijssel (PV)";"    7318"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Overijssel (PV)";"    6301"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Overijssel (PV)";"    5506"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Overijssel (PV)";"    5079"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Overijssel (PV)";"    4440"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Overijssel (PV)";"    4166"
