"Soort misdrijf";"Perioden";"Regio's";"Internetaangiften (aantal)"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Groningen (PV)";"    3463"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Groningen (PV)";"    4050"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Groningen (PV)";"    3562"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Groningen (PV)";"    3995"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Groningen (PV)";"    3696"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Groningen (PV)";"    2360"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Groningen (PV)";"    2084"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Groningen (PV)";"    2180"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Groningen (PV)";"    1894"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Groningen (PV)";"    2288"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Groningen (PV)";"    3004"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Fryslân (PV)";"    1938"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Fryslân (PV)";"    2304"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Fryslân (PV)";"    2463"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Fryslân (PV)";"    2381"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Fryslân (PV)";"    1796"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Fryslân (PV)";"    1100"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Fryslân (PV)";"    1132"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Fryslân (PV)";"    1073"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Fryslân (PV)";"    1003"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Fryslân (PV)";"    1075"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Fryslân (PV)";"    1589"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2012";"Drenthe (PV)";"    1946"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2013";"Drenthe (PV)";"    1734"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2014";"Drenthe (PV)";"    1690"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2015";"Drenthe (PV)";"    1771"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2016";"Drenthe (PV)";"    1403"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2017";"Drenthe (PV)";"     838"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2018";"Drenthe (PV)";"     725"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2019";"Drenthe (PV)";"     987"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2020";"Drenthe (PV)";"     852"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2021";"Drenthe (PV)";"    1050"
"1.2.3 Diefstal van brom-, snor-, fietsen";"2022";"Drenthe (PV)";"    1459"
